name,address,city,state,zip,accred_year,query,prog_id,lon,lat,fips,matched,fips_pip,county_fips,source_query,geocode_source
Harvard Medical School,25 Shattuck Street,Boston,MA,02114,1996,"25 Shattuck Street, Boston, MA 02114",36,-71.104983256994,42.335764550317,25025,"25 SHATTUCK ST, BOSTON, MA, 02115",25025,25025,NA,census geocoder
Tufts University School of Medicine,145 Harrison Avenue,Boston,MA,02111,1998,"145 Harrison Avenue, Boston, MA 02111",37,-71.0618176144,42.35009384174,25025,"145 HARRISON AVE, BOSTON, MA, 02111",25025,25025,NA,census geocoder
University of Massachusetts T.H. Chan School of Medicine,55 Lake Avenue North,Worcester,MA,01655,2019,"55 Lake Avenue North, Worcester, MA 01655",38,-71.75851684542,42.279566045426,25027,"55 N LAKE AVE, WORCESTER, MA, 01605",25027,25027,NA,census geocoder
Johns Hopkins University School of Medicine,733 N. Broadway,Baltimore,MD,21205,1997,"733 N. Broadway, Baltimore, MD 21205",39,-76.594358699081,39.298753489121,24510,"733 N BROADWAY, BALTIMORE, MD, 21205",24510,24510,NA,census geocoder
University of Maryland School of Medicine,655 West Broadway,Baltimore,MD,21201,1997,"655 West Broadway, Baltimore, MD 21201",40,-76.594313371731,39.29788622276,24510,"655 N BROADWAY, BALTIMORE, MD, 21231",24510,24510,NA,census geocoder
University of Michigan Medical School,1500 East Medical Center Drive,Ann Arbor,MI,48105,1997,"1500 East Medical Center Drive, Ann Arbor, MI 48105",41,-83.726782161004,42.281400027614,26161,"1500 E MEDICAL CENTER DR, ANN ARBOR, MI, 48109",26161,26161,NA,census geocoder
Wayne State University School of Medicine,540 E Canfield St,Detroit,MI,48201,1998,"540 E Canfield St, Detroit, MI 48201",42,-83.055225660823,42.355193208274,26163,"540 E CANFIELD ST, DETROIT, MI, 48201",26163,26163,NA,census geocoder
University of Minnesota Medical School,420 Delaware Street SE,Minneapolis,MN,55455,1995,"420 Delaware Street SE, Minneapolis, MN 55455",43,-93.231927607226993,44.972543061746,27053,"420 DELAWARE ST SE, MINNEAPOLIS, MN, 55455",27053,27053,NA,census geocoder
Mayo Clinic Alix School of Medicine,200 1st Street SW,Rochester,MN,55905,1996,"200 1st Street SW, Rochester, MN 55905",44,-92.4668375,44.0228985,NA,NA,27109,27109,NA,nominatim (name + city)
University of Missouri-Columbia School of Medicine,1 Hospital Drive,Columbia,MO,65212,2000,"1 Hospital Drive, Columbia, MO 65212",45,-92.329638691602,38.937668213242,29019,"1 HOSPITAL DR, COLUMBIA, MO, 65201",29019,29019,NA,census geocoder
University of Missouri-Kansas City School of Medicine,2411 Holmes Street,Kansas City,MO,64108,1997,"2411 Holmes Street, Kansas City, MO 64108",46,-94.575775072987,39.083795503026,29095,"2411 HOLMES ST, KANSAS CITY, MO, 64108",29095,29095,NA,census geocoder
Saint Louis University School of Medicine,1402 South Grand Boulevard,St. Louis,MO,63104,2000,"1402 South Grand Boulevard, St. Louis, MO 63104",47,-90.237821985754,38.622705250789,29510,"1402 S GRAND BLVD, SAINT LOUIS, MO, 63104",29510,29510,NA,census geocoder
Washington University in St. Louis School of Medicine,660 South Euclid Avenue,St. Louis,MO,63110,2000,"660 South Euclid Avenue, St. Louis, MO 63110",48,-90.263129754227,38.634621076168,29510,"660 S EUCLID AVE, SAINT LOUIS, MO, 63110",29510,29510,NA,census geocoder
University of Mississippi School of Medicine,2500 North State Street,Jackson,MS,39216,1999,"2500 North State Street, Jackson, MS 39216",49,-90.175559273059,32.328769488409,28049,"2500 N STATE ST, JACKSON, MS, 39216",28049,28049,NA,census geocoder
University of North Carolina School of Medicine,321 South Columbia Street,Chapel Hill,NC,27514,1999,"321 South Columbia Street, Chapel Hill, NC 27514",50,-79.052837607722,35.908464947078,37135,"321 S COLUMBIA ST, CHAPEL HILL, NC, 27514",37135,37135,NA,census geocoder
Duke University School of Medicine,8 Searle Center Drive,Durham,NC,27710,1997,"8 Searle Center Drive, Durham, NC 27710",51,-78.93735,36.00702,NA,NA,NA,37063,"Duke University Hospital, Durham, North Carolina","manual (Nominatim, facility query)"
Brody School of Medicine at East Carolina University,600 Moye Boulevard,Greenville,NC,27834,2025,"600 Moye Boulevard, Greenville, NC 27834",52,-77.4033114,35.6095837,NA,NA,37147,37147,NA,nominatim (name + city)
Wake Forest University School of Medicine,475 Vine Street,Winston-Salem,NC,27157,1999,"475 Vine Street, Winston-Salem, NC 27157",53,-80.240275976645,36.10004571133,37067,"475 VINE ST, WINSTON SALEM, NC, 27101",37067,37067,NA,census geocoder
University of Nebraska College of Medicine,985645 Nebraska Medical Center,Omaha,NE,68198,1998,"985645 Nebraska Medical Center, Omaha, NE 68198",54,-95.97695,41.25508,NA,NA,NA,31055,"University of Nebraska Medical Center, Omaha, Nebraska","manual (Nominatim, facility query)"
Geisel School of Medicine at Dartmouth,1 Rope Ferry Road,Hanover,NH,03756,2019,"1 Rope Ferry Road, Hanover, NH 03756",55,-72.286975165024,43.709477735843,33009,"1 ROPE FERRY RD, HANOVER, NH, 03755",33009,33009,NA,census geocoder
Rutgers New Jersey Medical School,185 South Orange Avenue,Newark,NJ,07103,1995,"185 South Orange Avenue, Newark, NJ 07103",56,-74.19009105212,40.738718968234,34013,"185 S ORANGE AVE, NEWARK, NJ, 07103",34013,34013,NA,census geocoder
University of New Mexico School of Medicine,1 University of New Mexico,Albuquerque,NM,87106,2023,"1 University of New Mexico, Albuquerque, NM 87106",57,-106.61757,35.08738,NA,NA,NA,35001,"2211 Lomas Blvd NE, Albuquerque, NM 87106","manual (Nominatim, facility query)"
Albany Medical College,47 New Scotland Avenue,Albany,NY,12208,1999,"47 New Scotland Avenue, Albany, NY 12208",58,-73.775281914673,42.652599887338,36001,"47 NEW SCOTLAND AVE, ALBANY, NY, 12208",36001,36001,NA,census geocoder
SUNY Downstate Health Sciences University College of Medicine,"450 Clarkson Avenue, Brooklyn, NY",Brooklyn,NY,11203,2000,"450 Clarkson Avenue, Brooklyn, NY, Brooklyn, NY 11203",59,-73.944953162489,40.655674120334,36047,"450 CLARKSON AVE, BROOKLYN, NY, 11203",36047,36047,NA,census geocoder
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,"955 Main Street, Buffalo, NY",Buffalo,NY,14209,2000,"955 Main Street, Buffalo, NY, Buffalo, NY 14209",60,-78.73977536602,42.832984097214,36029,"955 MAIN ST, BUFFALO, NY, 14224",36029,36029,NA,census geocoder
Hofstra/Northwell,500 Hofstra University,Hempstead,NY,11549,2000,"500 Hofstra University, Hempstead, NY 11549",61,-73.5978388,40.7176622,NA,NA,36059,36059,NA,nominatim (name + city)
NYU Grossman School of Medicine,550 First Avenue,New York,NY,10016,2000,"550 First Avenue, New York, NY 10016",62,-73.974467953901,40.742354676292,36061,"550 1ST AVE, NEW YORK, NY, 10016",36061,36061,NA,census geocoder
Albert Einstein College of Medicine,"1300 Morris Park Avenue, Bronx, NY 10461-1900",New York,NY,10467,2000,"1300 Morris Park Avenue, Bronx, NY 10461-1900, New York, NY 10467",63,-73.844315673274,40.85104543324,36005,"1300 MORRIS PARK AVE, BRONX, NY, 10461",36005,36005,NA,census geocoder
Columbia University Vagelos College of Physicians and Surgeons,"630 West 168th Street, New York, NY",New York,NY,11554,1998,"630 West 168th Street, New York, NY, New York, NY 11554",64,-73.9436897,40.8419836,NA,NA,36061,36061,NA,nominatim (name + city)
Icahn School of Medicine at Mount Sinai,"1 Gustave L. Levy Place, New York, NY",New York,NY,10003,2000,"1 Gustave L. Levy Place, New York, NY, New York, NY 10003",65,-73.953786284489,40.790487973689,36061,"1 GUSTAVE L LEVY PL, NEW YORK, NY, 10029",36061,36061,NA,census geocoder
Weill Cornell Medicine,"1300 York Avenue, New York, NY",New York,NY,10021,1997,"1300 York Avenue, New York, NY, New York, NY 10021",66,-73.955055782386,40.764938214709,36061,"1300 YORK AVE, NEW YORK, NY, 10021",36061,36061,NA,census geocoder
University of Rochester School of Medicine and Dentistry,"601 Elmwood Avenue, Rochester, NY",Rochester,NY,14642,1997,"601 Elmwood Avenue, Rochester, NY, Rochester, NY 14642",67,-77.623054767423,43.124432240377,36055,"601 ELMWOOD AVE, ROCHESTER, NY, 14620",36055,36055,NA,census geocoder
Renaissance School of Medicine at Stony Brook University,"101 Nicolls Road, Stony Brook, NY 11794-8434",Stony Brook,NY,11794,2007,"101 Nicolls Road, Stony Brook, NY 11794-8434, Stony Brook, NY 11794",68,-73.11519,40.90827,NA,NA,NA,36103,"Stony Brook University Hospital, Stony Brook, New York","manual (Nominatim, facility query)"
State University of New York Upstate Medical University Alan and Marlene Norton College of Medicine,"766 Irving Avenue, Syracuse, NY",Syracuse,NY,13210,1998,"766 Irving Avenue, Syracuse, NY, Syracuse, NY 13210",69,-76.137952509769,43.040484915055,36067,"766 IRVING AVE, SYRACUSE, NY, 13210",36067,36067,NA,census geocoder
New York Medical College,"40 Sunshine Cottage Road, Valhalla, NY",Valhalla,NY,11418,1996,"40 Sunshine Cottage Road, Valhalla, NY, Valhalla, NY 11418",70,-73.810143840105,41.085692057194,36119,"40 SUNSHINE COTTAGE RD, VALHALLA, NY, 10595",36119,36119,NA,census geocoder
University of Cincinnati College of Medicine,"231 Albert Sabin Way, Cincinnati, OH",Cincinnati,OH,45219,1999,"231 Albert Sabin Way, Cincinnati, OH, Cincinnati, OH 45219",71,-84.5041837,39.139569,NA,NA,39061,39061,NA,nominatim (name + city)
Case Western Reserve University School of Medicine,"9501 Euclid Avenue, Cleveland, OH",Cleveland,OH,44106,2000,"9501 Euclid Avenue, Cleveland, OH, Cleveland, OH 44106",72,-81.6204216,41.5036811,NA,NA,39035,39035,NA,nominatim (name + city)
The Ohio State University College of Medicine,"1645 Neil Avenue, Columbus, OH",Columbus,OH,43210,2000,"1645 Neil Avenue, Columbus, OH, Columbus, OH 43210",73,-83.014637501346,39.994898616249,39049,"1645 NEIL AVE, COLUMBUS, OH, 43210",39049,39049,NA,census geocoder
University of Oklahoma College of Medicine,"800 Stanton L. Young Blvd, Oklahoma City, OK",Oklahoma City,OK,73104,1998,"800 Stanton L. Young Blvd, Oklahoma City, OK, Oklahoma City, OK 73104",74,-97.498973726225,35.480109213764,40109,"800 STANTON L YOUNG BLVD, OKLAHOMA CITY, OK, 73104",40109,40109,NA,census geocoder
Oregon Health & Science University School of Medicine,"3181 SW Sam Jackson Park Road, Portland, OR",Portland,OR,97239,2000,"3181 SW Sam Jackson Park Road, Portland, OR, Portland, OR 97239",75,-122.684915639108,45.499967713165,41051,"3181 SW SAM JACKSON PARK RD, PORTLAND, OR, 97239",41051,41051,NA,census geocoder
Penn State College of Medicine,"700 HMC Crescent Road, Hershey, PA",Hershey,PA,17033,1998,"700 HMC Crescent Road, Hershey, PA, Hershey, PA 17033",76,-76.6763868,40.2640951,NA,NA,42043,42043,NA,nominatim (name + city)
Lewis Katz School of Medicine at Temple University,"3500 N Broad Street, Philadelphia, PA",Philadelphia,PA,19140,1995,"3500 N Broad Street, Philadelphia, PA, Philadelphia, PA 19140",77,-75.151981647752,40.006236621418,42101,"3500 N BROAD ST, PHILADELPHIA, PA, 19140",42101,42101,NA,census geocoder
Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,"3400 Civic Center Boulevard, Philadelphia, PA",Philadelphia,PA,19104,1997,"3400 Civic Center Boulevard, Philadelphia, PA, Philadelphia, PA 19104",78,-75.192257508702,39.948440359796,42101,"3400 CIVIC CENTER BLVD, PHILADELPHIA, PA, 19104",42101,42101,NA,census geocoder
Sidney Kimmel Medical College at Thomas Jefferson University,"1025 Walnut Street, Philadelphia, PA",Philadelphia,PA,19107,2000,"1025 Walnut Street, Philadelphia, PA, Philadelphia, PA 19107",79,-75.157709810161,39.948586347044,42101,"1025 WALNUT ST, PHILADELPHIA, PA, 19107",42101,42101,NA,census geocoder
University of Pittsburgh School of Medicine,"3550 Terrace Street, Pittsburgh, PA",Pittsburgh,PA,15213,1996,"3550 Terrace Street, Pittsburgh, PA, Pittsburgh, PA 15213",80,-79.961880535379,40.442780009252,42003,"3550 TERRACE ST, PITTSBURGH, PA, 15213",42003,42003,NA,census geocoder
University of Puerto Rico School of Medicine,"Medical Sciences Campus, San Juan, PR",San Juan,PR,00935,1999,"Medical Sciences Campus, San Juan, PR, San Juan, PR 00935",81,-66.07453,18.39837,NA,NA,NA,72127,"Recinto de Ciencias Medicas, San Juan, Puerto Rico","manual (Nominatim, facility query)"
The Warren Alpert Medical School of Brown University,"222 Richmond Street, Providence, RI",Providence,RI,02903,1995,"222 Richmond Street, Providence, RI, Providence, RI 02903",82,-71.408980918754,41.819092507701,44007,"222 RICHMOND ST, PROVIDENCE, RI, 02903",44007,44007,NA,census geocoder
Medical University of South Carolina College of Medicine,"171 Ashley Avenue, Charleston, SC",Charleston,SC,29425,2000,"171 Ashley Avenue, Charleston, SC, Charleston, SC 29425",83,-79.946711385401,32.785578159856,45019,"171 ASHLEY AVE, CHARLESTON, SC, 29425",45019,45019,NA,census geocoder
"University of South Carolina School of Medicine, Columbia","6311 Garners Ferry Road, Columbia, SC",Columbia,SC,29203,2000,"6311 Garners Ferry Road, Columbia, SC, Columbia, SC 29203",84,-80.962872631985,33.980973030353,45079,"6311 GARNERS FERRY RD, COLUMBIA, SC, 29209",45079,45079,NA,census geocoder
University of Tennessee Health Science Center College of Medicine,"910 Madison Avenue, Memphis, TN",Memphis,TN,38163,1997,"910 Madison Avenue, Memphis, TN, Memphis, TN 38163",85,-90.030530747147,35.140344289405,47157,"910 MADISON AVE, MEMPHIS, TN, 38103",47157,47157,NA,census geocoder
Vanderbilt University School of Medicine,"1211 Medical Center Drive, Nashville, TN",Nashville,TN,37232,2000,"1211 Medical Center Drive, Nashville, TN, Nashville, TN 37232",86,-86.801327373077,36.142654447096,47037,"1211 MEDICAL CENTER DR, NASHVILLE, TN, 37232",47037,47037,NA,census geocoder
University of Texas Southwestern Medical School,"5323 Harry Hines Blvd, Dallas, TX",Dallas,TX,75390,1996,"5323 Harry Hines Blvd, Dallas, TX, Dallas, TX 75390",87,-96.838821476923,32.81298226272,48113,"5323 HARRY HINES BLVD, DALLAS, TX, 75390",48113,48113,NA,census geocoder
University of Texas Medical Branch John Sealy School of Medicine,"301 University Blvd, Galveston, TX",Galveston,TX,77550,1997,"301 University Blvd, Galveston, TX, Galveston, TX 77550",88,-94.77453335331,29.310376202323,48167,"301 UNIVERSITY BLVD, GALVESTON, TX, 77550",48167,48167,NA,census geocoder
Baylor College of Medicine School of Medicine,"1 Baylor Plaza, Houston, TX",Houston,TX,76508,1997,"1 Baylor Plaza, Houston, TX, Houston, TX 76508",89,-95.396916206868,29.711083871493,48201,"1 BAYLOR PLZ, HOUSTON, TX, 77030",48201,48201,NA,census geocoder
McGovern Medical School at The University of Texas Health Science Center at Houston,"6431 Fannin Street, Houston, TX",Houston,TX,77030,2000,"6431 Fannin Street, Houston, TX, Houston, TX 77030",90,-95.39674525075,29.714823776531,48201,"6431 FANNIN ST, HOUSTON, TX, 77030",48201,48201,NA,census geocoder
The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,"7703 Floyd Curl Drive, San Antonio, TX",San Antonio,TX,78229,1999,"7703 Floyd Curl Drive, San Antonio, TX, San Antonio, TX 78229",91,-98.577721631304,29.513111059165,48029,"7703 FLOYD CURL DR, SAN ANTONIO, TX, 78229",48029,48029,NA,census geocoder
Spencer Fox Eccles School of Medicine at the University of Utah,"30 N 1900 E, Salt Lake City, UT",Salt Lake City,UT,84132,1999,"30 N 1900 E, Salt Lake City, UT, Salt Lake City, UT 84132",92,-111.83685972413,40.768498771409,49035,"30 N 1900 E, SALT LAKE CITY, UT, 84132",49035,49035,NA,census geocoder
University of Virginia School of Medicine,"200 Jeanette Lancaster Way, Charlottesville, VA",Charlottesville,VA,22903,1999,"200 Jeanette Lancaster Way, Charlottesville, VA, Charlottesville, VA 22903",93,-78.501640728834,38.031655401805,51540,"200 JEANETTE LANCASTER WAY, CHARLOTTESVILLE, VA, 22903",51540,51540,NA,census geocoder
Eastern Virginia Medical School at Old Dominion University,"700 W Olney Road, Norfolk, VA",Norfolk,VA,23508,2000,"700 W Olney Road, Norfolk, VA, Norfolk, VA 23508",94,-76.30047186459,36.860775795957,51710,"700 W OLNEY RD, NORFOLK, VA, 23507",51710,51710,NA,census geocoder
Virginia Commonwealth University School of Medicine,"1201 E Marshall Street, Richmond, VA",Richmond,VA,23298,1999,"1201 E Marshall Street, Richmond, VA, Richmond, VA 23298",95,-77.430441172036,37.540019606485,51760,"1201 E MARSHALL ST, RICHMOND, VA, 23219",51760,51760,NA,census geocoder
University of Washington School of Medicine,"1959 NE Pacific Street, Seattle, WA",Seattle,WA,98195,1997,"1959 NE Pacific Street, Seattle, WA, Seattle, WA 98195",96,-122.308013571265,47.6506691806,53033,"1959 NE PACIFIC ST, SEATTLE, WA, 98195",53033,53033,NA,census geocoder
University of Wisconsin School of Medicine and Public Health,"750 Highland Avenue, Madison, WI",Madison,WI,53792,1998,"750 Highland Avenue, Madison, WI, Madison, WI 53792",97,-89.432,43.07638,17119,"750 HIGHLAND AVE, MADISON, IL, 62060",17119,55025,NA,"manual (QA fix: geocoder matched Madison, IL)"
Medical College of Wisconsin,"8701 Watertown Plank Road, Milwaukee, WI",Milwaukee,WI,53226,1994,"8701 Watertown Plank Road, Milwaukee, WI, Milwaukee, WI 53226",98,-88.020450963172,43.045771907892,55079,"8701 W WATERTOWN PLANK RD, MILWAUKEE, WI, 53226",55079,55079,NA,census geocoder
West Virginia University School of Medicine,"1 Medical Center Drive, Morgantown, WV",Morgantown,WV,26506,1998,"1 Medical Center Drive, Morgantown, WV, Morgantown, WV 26506",99,-79.9574495,39.6536927,NA,NA,54061,54061,NA,nominatim (name + city)
University of Arizona College of Medicine - Phoenix Program,475 N 5th St,Phoenix,AZ,85004,2024,"475 N 5th St, Phoenix, AZ 85004",100,-112.067410348778,33.453158713611,04013,"475 N 5TH ST, PHOENIX, AZ, 85004",04013,04013,NA,census geocoder
Sinai Hospital of Baltimore Ophthalmology Residency,2401 W Belvedere Avenue,Baltimore,MD,21215,2005,"2401 W Belvedere Avenue, Baltimore, MD 21215",101,-76.665087502387,39.353202966075,24510,"2401 W BELVEDERE AVE, BALTIMORE, MD, 21215",24510,24510,NA,census geocoder
Corewell Health William Beaumont University Hospital Program,586 Pioneer Drive,Rochester Hills,MI,48309,1997,"586 Pioneer Drive, Rochester Hills, MI 48309",102,-83.2153399,42.6743231,NA,NA,26125,26125,NA,nominatim (name + city)
Cleveland Clinic Cole Eye Institute,9500 Euclid Avenue,Cleveland,OH,44195,1998,"9500 Euclid Avenue, Cleveland, OH 44195",103,-81.622884159903,41.503346094361,39035,"9500 EUCLID AVE, CLEVELAND, OH, 44195",39035,39035,NA,census geocoder
Geisinger Health System Program,"16 Woodbine Ln Danville, PA 17822",NA,NA,NA,1999,"16 Woodbine Ln Danville, PA 17822",104,-76.5735531,40.9618175,NA,NA,42093,42093,NA,nominatim (name + city)
