fips,county,state,pop2020,pw_lat,pw_lon,land_area_sqmi
02185,North Slope,Alaska,11031,70.480816,-155.295377,88823.62303972122
02188,Northwest Arctic,Alaska,7793,66.897051,-161.582978,35663.280638381
02195,Petersburg,Alaska,3398,56.79507,-132.943575,2900.6557350566372
02198,Prince of Wales-Hyder,Alaska,5753,55.59077,-132.668824,5267.724661485029
02220,Sitka,Alaska,8458,57.062777,-135.335988,2870.0578718100755
02230,Skagway,Alaska,1240,59.465893,-135.310551,433.93292681949805
02240,Southeast Fairbanks,Alaska,6808,63.861551,-144.698751,24831.058088139256
02275,Wrangell,Alaska,2127,56.426145,-132.355422,2555.995138525945
02282,Yakutat,Alaska,662,59.545059,-139.714907,7623.279652430529
02290,Yukon-Koyukuk,Alaska,5343,64.966051,-152.827744,145575.55154336212
04001,Apache,Arizona,66021,35.543654,-109.419015,11198.31080151175
04003,Cochise,Arizona,125447,31.603486,-110.072835,6209.749784913106
04005,Coconino,Arizona,145101,35.476113,-111.601825,18616.353995540157
04007,Gila,Arizona,53272,33.844439,-111.015003,4757.577882857539
04009,Graham,Arizona,38533,32.867145,-109.808107,4621.876798886155
04011,Greenlee,Arizona,9563,32.985155,-109.259546,1842.1428849725492
04012,La Paz,Arizona,16557,33.954185,-114.183775,4496.579214025813
04013,Maricopa,Arizona,4420568,33.490147,-112.044016,9201.996606077084
04015,Mohave,Arizona,213267,35.034511,-114.262415,13332.11710458393
04017,Navajo,Arizona,106717,34.862151,-110.205157,9949.493810996684
04019,Pima,Arizona,1043433,32.216427,-110.95803,9188.682680863736
04021,Pinal,Arizona,425264,33.069323,-111.602135,5366.67053965742
04023,Santa Cruz,Arizona,47669,31.439234,-110.945948,1236.2424470744
04025,Yavapai,Arizona,236209,34.628734,-112.273841,8122.93287863781
04027,Yuma,Arizona,203881,32.641391,-114.605444,5513.837973178958
05001,Arkansas,Arkansas,17149,34.403488,-91.460834,992.1405635333207
05003,Ashley,Arkansas,19062,33.17959,-91.877908,925.4916421218629
05005,Baxter,Arkansas,41627,36.331791,-92.383935,553.92557033785
05007,Benton,Arkansas,284333,36.335056,-94.230342,847.7208947495902
05009,Boone,Arkansas,37373,36.266608,-93.098769,589.7229149828028
05011,Bradley,Arkansas,10545,33.574422,-92.101277,649.1670789948145
05013,Calhoun,Arkansas,4739,33.585989,-92.500683,628.6005231892744
05015,Carroll,Arkansas,28260,36.375744,-93.574712,629.9378088650762
05017,Chicot,Arkansas,10208,33.325951,-91.318357,636.9777029594163
05019,Clark,Arkansas,21446,34.099325,-93.123962,865.9712229335292
05021,Clay,Arkansas,14552,36.370287,-90.366417,639.2237607608168
05023,Cleburne,Arkansas,24711,35.507218,-92.037753,553.9591701059971
05025,Cleveland,Arkansas,7550,33.912967,-92.136375,597.9137772952943
05027,Columbia,Arkansas,22801,33.258766,-93.247178,766.0648596568268
05029,Conway,Arkansas,20715,35.21299,-92.705923,551.9170028158933
05031,Craighead,Arkansas,111231,35.835762,-90.669235,707.1604027556714
05033,Crawford,Arkansas,60133,35.494096,-94.285922,595.2686273142775
05035,Crittenden,Arkansas,48163,35.176704,-90.213521,612.8648308736831
05037,Cross,Arkansas,16833,35.251667,-90.777424,616.3175733652306
05039,Dallas,Arkansas,6482,33.864882,-92.525216,667.3228700652221
05041,Desha,Arkansas,11395,33.768029,-91.415165,741.214041326236
05043,Drew,Arkansas,17350,33.627329,-91.784085,828.6622188392981
05045,Faulkner,Arkansas,123498,35.105697,-92.406071,647.2463473973246
05047,Franklin,Arkansas,17097,35.442155,-93.891039,608.962948482416
05049,Fulton,Arkansas,12075,36.375654,-91.766807,618.0358580873949
05051,Garland,Arkansas,100180,34.505767,-93.080729,677.6090284831463
05053,Grant,Arkansas,17958,34.311672,-92.412583,631.8846004277603
05055,Greene,Arkansas,45736,36.071536,-90.522562,577.3402152799845
05057,Hempstead,Arkansas,20065,33.698177,-93.620782,727.1996885730878
05059,Hot Spring,Arkansas,33040,34.353569,-92.895511,614.943872078239
05061,Howard,Arkansas,12785,33.981466,-93.908938,587.3264727072435
05063,Independence,Arkansas,37938,35.750729,-91.607338,763.7115137181074
05065,Izard,Arkansas,13577,36.1215,-91.911716,580.1773016633656
05067,Jackson,Arkansas,16755,35.623062,-91.246504,633.6108226381009
05069,Jefferson,Arkansas,67260,34.234814,-92.045118,872.3667955371425
05071,Johnson,Arkansas,25749,35.476548,-93.473125,660.9954722919558
05073,Lafayette,Arkansas,6308,33.278875,-93.557713,529.4724661882715
05075,Lawrence,Arkansas,16216,36.070844,-91.064441,587.5279315471453
05077,Lee,Arkansas,8600,34.787429,-90.769631,599.807168612832
05079,Lincoln,Arkansas,12941,33.973433,-91.745899,559.4615729722404
05081,Little River,Arkansas,12026,33.700349,-94.198663,531.2545921301546
05083,Logan,Arkansas,21131,35.227664,-93.768311,709.1160098028404
05085,Lonoke,Arkansas,74015,34.916983,-91.973917,771.4484577305647
05087,Madison,Arkansas,16521,36.062896,-93.757685,834.2277057789273
05089,Marion,Arkansas,16826,36.284395,-92.660219,596.6534518183561
05091,Miller,Arkansas,42600,33.402394,-93.987198,624.0404049576892
05093,Mississippi,Arkansas,40685,35.843368,-90.001606,902.0929184883402
05095,Monroe,Arkansas,6799,34.777063,-91.221516,607.4687736693896
05097,Montgomery,Arkansas,8484,34.514568,-93.622447,780.4529361333632
05099,Nevada,Arkansas,8310,33.725543,-93.359433,617.789634949328
05101,Newton,Arkansas,7225,35.982591,-93.165658,821.0718338008123
05103,Ouachita,Arkansas,22650,33.573847,-92.838686,732.7209135334602
05105,Perry,Arkansas,10019,34.998711,-92.777667,551.3772505310845
05107,Phillips,Arkansas,16568,34.530919,-90.703802,690.3599877916042
05109,Pike,Arkansas,10171,34.186355,-93.626194,600.3353204582859
05111,Poinsett,Arkansas,22965,35.604751,-90.558401,758.2951645287669
05113,Polk,Arkansas,19221,34.522847,-94.25793,856.8382122804418
05115,Pope,Arkansas,63381,35.309054,-93.096833,811.1275750219564
05117,Prairie,Arkansas,8282,34.863817,-91.540516,647.5202996202172
05119,Pulaski,Arkansas,399125,34.775246,-92.315081,758.3081850518612
05121,Randolph,Arkansas,18571,36.302137,-90.989599,651.9126410198077
05123,St. Francis,Arkansas,23090,35.016355,-90.774948,634.7839878693497
05125,Saline,Arkansas,123416,34.596991,-92.546119,723.5323319688908
05127,Scott,Arkansas,9836,34.904224,-94.097007,892.8499212299473
05129,Searcy,Arkansas,7828,35.923072,-92.660663,665.833733113161
05131,Sebastian,Arkansas,127799,35.318718,-94.354788,531.1818323366743
05133,Sevier,Arkansas,15839,34.015316,-94.30378,563.5743590344127
05135,Sharp,Arkansas,17271,36.178093,-91.51953,604.6243405341347
05137,Stone,Arkansas,12359,35.855714999999996,-92.133812,606.4403492570474
05139,Union,Arkansas,39054,33.207421,-92.65198,1039.0670376475205
05141,Van Buren,Arkansas,15796,35.568095,-92.42013,709.5625126248167
05143,Washington,Arkansas,245871,36.09592,-94.172336,941.470828219362
05145,White,Arkansas,76822,35.239408,-91.773595,1034.0786545155222
05147,Woodruff,Arkansas,6269,35.233161,-91.251021,585.9651988904304
05149,Yell,Arkansas,20263,35.127752,-93.28293,930.2105993065737
06001,Alameda,California,1682353,37.706599,-122.098766,737.4618229424999
06003,Alpine,California,1204,38.728485,-119.847822,738.3403034232463
06005,Amador,California,40474,38.395906,-120.778038,594.5841106583305
06007,Butte,California,211632,39.658926,-121.72651,1636.4896366261698
06009,Calaveras,California,45292,38.157342,-120.645222,1020.0191069603019
06011,Colusa,California,21839,39.153446,-122.083801,1150.7128992186763
06013,Contra Costa,California,1165927,37.93501,-122.024961,716.9293560965422
06015,Del Norte,California,27743,41.790833,-124.164236,1006.2277988604358
06017,El Dorado,California,191185,38.741021,-120.761446,1707.8503198225108
06019,Fresno,California,1008654,36.743848,-119.765291,5958.382294272386
06021,Glenn,California,28917,39.665777,-122.179287,1313.9675382525213
06023,Humboldt,California,136463,40.757636,-124.088127,3568.188283690615
06025,Imperial,California,179702,32.841599,-115.540049,4175.538574962802
06027,Inyo,California,19016,37.171422,-118.268567,10197.260346882442
06029,Kern,California,909235,35.369809,-118.941786,8134.64454630257
06031,Kings,California,152486,36.252657,-119.726922,1390.9723790199178
06033,Lake,California,68163,38.976233,-122.732922,1256.5512125073037
06035,Lassen,California,32730,40.393749,-120.584467,4541.368881805407
06037,Los Angeles,California,10014009,34.067886,-118.24599,4059.288372563224
06039,Madera,California,156255,37.037074,-120.009796,2136.9177451552086
06041,Marin,California,262321,37.986474,-122.546657,520.4231640275755
06043,Mariposa,California,17131,37.532076000000004,-119.971401,1448.8394639773078
06045,Mendocino,California,91601,39.285646,-123.394154,3506.8240008252396
06047,Merced,California,281202,37.274812,-120.628944,1938.0039281338632
06049,Modoc,California,8700,41.521665,-120.631201,3948.233463511923
06051,Mono,California,13195,37.773016,-118.970627,3048.903853462092
06053,Monterey,California,439035,36.614681,-121.646692,3281.722799878027
06055,Napa,California,138019,38.325108,-122.319983,748.2787108238887
06057,Nevada,California,102241,39.220021,-120.915206,957.7601114933304
06059,Orange,California,3186989,33.732683,-117.858773,792.8517111995545
06061,Placer,California,404739,38.839708,-121.198379,1407.0863340758735
06063,Plumas,California,19790,39.981152,-120.821957,2553.062211548145
06065,Riverside,California,2418185,33.799274,-117.076969,7209.270419778105
06067,Sacramento,California,1585055,38.568337,-121.381235,965.273113551089
06069,San Benito,California,64209,36.843074,-121.402614,1388.6515814931677
06071,San Bernardino,California,2181654,34.190969,-117.359766,20068.094327660834
06073,San Diego,California,3298634,32.884418,-117.112348,4210.256828167447
06075,San Francisco,California,873965,37.760569,-122.436499,46.91414934719527
06077,San Joaquin,California,779233,37.924541,-121.302289,1392.3702927732745
06079,San Luis Obispo,California,282424,35.341822,-120.665804,3300.855621688549
06081,San Mateo,California,764442,37.563575,-122.339869,448.62060853244617
06083,Santa Barbara,California,448229,34.645128,-120.1029,2733.935419108932
06085,Santa Clara,California,1936259,37.315518,-121.91109,1291.0841972938633
06087,Santa Cruz,California,270861,36.986338,-121.938739,445.10767425878265
06089,Shasta,California,182155,40.578348,-122.300147,3775.56578937345
06091,Sierra,California,3236,39.607184,-120.421856,953.168307015896
06093,Siskiyou,California,44076,41.572743,-122.493725,6278.767523376778
06095,Solano,California,453491,38.236295,-122.067272,821.8291330302671
06097,Sonoma,California,488863,38.412281,-122.720368,1575.6307024127614
06099,Stanislaus,California,552878,37.618447,-120.955882,1496.017407199603
06101,Sutter,California,99633,39.137197,-121.643973,602.6960112183681
06103,Tehama,California,65829,40.114795,-122.219057,2949.136835998834
06105,Trinity,California,16112,40.629982,-123.096608,3179.267521811133
06107,Tulare,California,473117,36.254134,-119.23454,4823.898922841001
06109,Tuolumne,California,55620,37.972006,-120.325224,2220.911059703668
06111,Ventura,California,843843,34.242809,-119.025486,1840.7892077157067
06113,Yolo,California,216403,38.598163,-121.718874,1014.7327931169538
06115,Yuba,California,81575,39.131905,-121.510607,632.005938050426
08001,Adams,Colorado,519572,39.876949,-104.920943,1166.7391349530174
08003,Alamosa,Colorado,16376,37.481888,-105.877629,722.6454132254685
08005,Arapahoe,Colorado,655070,39.646582,-104.838574,797.8564480745821
08007,Archuleta,Colorado,13359,37.240274,-107.089808,1350.0881144971743
08009,Baca,Colorado,3506,37.368105,-102.53204,2554.9926431901654
08011,Bent,Colorado,5650,38.072919,-103.166006,1512.8467705591129
08013,Boulder,Colorado,330758,40.062992,-105.180215,726.3836855992363
08014,Broomfield,Colorado,74112,39.939871,-105.058131,32.96798339356083
08015,Chaffee,Colorado,19476,38.676811,-106.085131,1013.4083943728994
08017,Cheyenne,Colorado,1748,38.817655,-102.470052,1778.2761018157726
08019,Clear Creek,Colorado,9397,39.713458,-105.532527,395.0728762225862
08021,Conejos,Colorado,7461,37.199613,-105.987323,1287.4282635220284
08023,Costilla,Colorado,3499,37.292230000000004,-105.444296,1227.5933961720002
08025,Crowley,Colorado,5922,38.193783,-103.856387,787.4275036729803
08027,Custer,Colorado,4704,38.133198,-105.382527,738.6257750040405
08029,Delta,Colorado,31196,38.798198,-107.913769,1142.1253161660268
08031,Denver,Colorado,715522,39.72486,-104.950033,153.07465909563578
08033,Dolores,Colorado,2326,37.746934,-108.758724,1067.1703461990026
08035,Douglas,Colorado,357978,39.482023,-104.87357,840.1661268630303
08037,Eagle,Colorado,55731,39.600516,-106.733421,1684.4688248395087
08039,Elbert,Colorado,26062,39.388552,-104.52311,1850.8362928353367
08041,El Paso,Colorado,730395,38.877314,-104.75212,2126.4139795607016
08043,Fremont,Colorado,48939,38.426941,-105.214303,1533.8347132412125
08045,Garfield,Colorado,61685,39.507103,-107.549019,2947.4294640680805
08047,Gilpin,Colorado,5808,39.856062,-105.483217,150.02259836629136
08049,Grand,Colorado,15717,40.051143,-105.978501,1846.4473873588556
08051,Gunnison,Colorado,16918,38.660002,-106.944384,3239.1400252412745
08053,Hinsdale,Colorado,788,38.002552,-107.29875,1117.2307937737985
08055,Huerfano,Colorado,6820,37.612538,-104.887584,1591.0328986027662
08057,Jackson,Colorado,1379,40.690192,-106.295485,1613.7256440918566
08059,Jefferson,Colorado,582910,39.72369,-105.130309,764.3801032739104
08061,Kiowa,Colorado,1446,38.470085,-102.700966,1767.8087278941216
08063,Kit Carson,Colorado,7087,39.310418,-102.462031,2160.8214838484337
08065,Lake,Colorado,7436,39.244814,-106.30747,376.9190523426766
08067,La Plata,Colorado,55638,37.266021,-107.803947,1689.6816090016723
08069,Larimer,Colorado,359066,40.504402,-105.089155,2595.7717400486445
08071,Las Animas,Colorado,14555,37.192053,-104.501324,4772.937991209543
08073,Lincoln,Colorado,5675,39.180049,-103.614219,2577.7298054854778
08075,Logan,Colorado,21528,40.64034,-103.185977,1838.598392252851
08077,Mesa,Colorado,155703,39.092942,-108.546673,3328.721100190688
08079,Mineral,Colorado,865,37.779142,-106.942063,875.7604203827793
08081,Moffat,Colorado,13292,40.51606,-107.613977,4743.243327476125
08083,Montezuma,Colorado,25849,37.371913,-108.554458,2029.349091490617
08085,Montrose,Colorado,42679,38.481301,-107.922349,2240.946023107419
08087,Morgan,Colorado,29111,40.254229,-103.789071,1280.4852173626389
08089,Otero,Colorado,18690,38.023236,-103.655776,1261.9456778123974
08091,Ouray,Colorado,4874,38.146044,-107.751894,540.6714484878465
08093,Park,Colorado,17390,39.305737,-105.625362,2193.510303026063
08095,Phillips,Colorado,4530,40.599356,-102.385877,687.9278592518326
08097,Pitkin,Colorado,17358,39.231757,-106.908716,970.7013303624781
08099,Prowers,Colorado,11999,38.083029,-102.548624,1638.4080002591209
08101,Pueblo,Colorado,168162,38.265773,-104.646976,2386.591201378141
08103,Rio Blanco,Colorado,6529,40.05108,-108.268744,3220.9703904779703
08105,Rio Grande,Colorado,11539,37.61185,-106.242067,911.9563417609667
08107,Routt,Colorado,24829,40.455504,-106.89741,2362.0196468778386
08109,Saguache,Colorado,6368,37.925349,-106.006105,3168.5657811765013
08111,San Juan,Colorado,705,37.801877,-107.673598,387.51555195363426
08113,San Miguel,Colorado,8072,37.971818,-107.958108,1286.7250556605838
08115,Sedgwick,Colorado,2404,40.962161,-102.325673,548.0407456387899
08117,Summit,Colorado,31055,39.572383,-106.055673,608.3283629437202
08119,Teller,Colorado,24710,38.944782,-105.139899,557.1408503493092
08121,Washington,Colorado,4817,40.098312,-103.157119,2518.083681472963
08123,Weld,Colorado,328981,40.322426,-104.807009,3984.95030426993
08125,Yuma,Colorado,9988,40.065848,-102.480825,2364.398510308219
09001,Fairfield,Connecticut,957419,41.206021,-73.367214,624.9696756329897
09003,Hartford,Connecticut,899498,41.761165,-72.717868,734.9338391364275
09005,Litchfield,Connecticut,185186,41.726958,-73.190432,920.5150930210256
09007,Middlesex,Connecticut,164245,41.479018,-72.571631,369.304302713575
09009,New Haven,Connecticut,864835,41.396593,-72.942327,604.3051772928795
09011,New London,Connecticut,268555,41.443271,-72.097543,665.0653380798725
09013,Tolland,Connecticut,149788,41.842288,-72.372969,410.35225717696443
09015,Windham,Connecticut,116418,41.80508,-71.993508,512.9280809709973
10001,Kent,Delaware,181851,39.127081,-75.55913,586.0610286739889
10003,New Castle,Delaware,570719,39.678852,-75.63529,426.33668461126643
10005,Sussex,Delaware,237378,38.661794,-75.331473,936.1562354817142
11001,District of Columbia,District of Columbia,689545,38.910168,-77.013993,61.12619721640344
12001,Alachua,Florida,278468,29.664721,-82.391582,875.6431905009788
12003,Baker,Florida,28259,30.286374,-82.184536,585.2300885659279
12005,Bay,Florida,175216,30.21282,-85.670601,758.6421055037199
12007,Bradford,Florida,28303,29.949896,-82.128265,293.96603562014036
12009,Brevard,Florida,606612,28.225111,-80.690892,1014.9717328239009
12011,Broward,Florida,1944375,26.135399,-80.226976,1202.8407447013337
12013,Calhoun,Florida,13648,30.464333,-85.125841,567.336425725908
12015,Charlotte,Florida,186847,26.953831,-82.117344,681.1189121636547
12017,Citrus,Florida,153843,28.865585,-82.455213,581.919055991342
12019,Clay,Florida,218245,30.087758,-81.800487,604.5977157014826
12021,Collier,Florida,375752,26.203653,-81.69257,1996.8502249224612
12023,Columbia,Florida,69698,30.122022,-82.664496,797.3770682676995
12027,DeSoto,Florida,33976,27.1868,-81.87051,636.6947340928141
12029,Dixie,Florida,16759,29.634593,-83.058664,705.0339567002877
12031,Duval,Florida,995567,30.298646,-81.620436,762.6541918758076
12033,Escambia,Florida,321905,30.485666,-87.277106,656.9940187872137
12035,Flagler,Florida,115378,29.521471,-81.222102,486.2011779660255
12037,Franklin,Florida,12451,29.785968,-84.813247,544.982797237629
12039,Gadsden,Florida,43826,30.593632,-84.571737,516.375066293258
12041,Gilchrist,Florida,17864,29.705263,-82.808104,349.6948760123845
12043,Glades,Florida,12126,26.897019,-81.189563,806.8219838275629
12045,Gulf,Florida,14192,29.955584,-85.259724,553.4576218575768
12047,Hamilton,Florida,14004,30.501436000000002,-82.999025,514.2952370541964
12049,Hardee,Florida,25327,27.548142,-81.816969,637.5693415828075
12051,Hendry,Florida,39619,26.726562,-81.216144,1155.9498649590325
12053,Hernando,Florida,194515,28.504446,-82.497025,472.9658021480261
12055,Highlands,Florida,101235,27.462632,-81.444816,1017.6597119590639
12057,Hillsborough,Florida,1459762,27.967264,-82.39857,1022.3528180598482
12059,Holmes,Florida,19653,30.847037,-85.754664,478.8566037085012
12061,Indian River,Florida,159788,27.671332,-80.440738,502.8103434034684
12063,Jackson,Florida,47319,30.797248,-85.218988,918.1863514423625
12065,Jefferson,Florida,14510,30.502892,-83.89133,598.0794294071103
12067,Lafayette,Florida,8226,30.063591,-83.176369,543.3446958951483
12069,Lake,Florida,383956,28.716853,-81.750668,951.73468074338
12071,Lee,Florida,760822,26.576019,-81.851845,781.0086298040959
12073,Leon,Florida,292198,30.466102,-84.269682,668.4299620201732
12075,Levy,Florida,42915,29.380119,-82.662921,1118.2248203448316
12077,Liberty,Florida,7974,30.399108,-84.907135,835.5633316015494
12079,Madison,Florida,17968,30.472359,-83.425943,696.5288666904344
12081,Manatee,Florida,399710,27.478313,-82.520478,742.7617326011585
12083,Marion,Florida,375908,29.135817,-82.126125,1588.4221576600212
12085,Martin,Florida,158431,27.145869,-80.245706,543.8223390145216
12086,Miami-Dade,Florida,2701767,25.769326,-80.30118,1899.9090798914904
12087,Monroe,Florida,82874,24.747427,-81.244796,983.0421657804445
12089,Nassau,Florida,90352,30.608318,-81.63434,648.6808010867665
12091,Okaloosa,Florida,211668,30.551645,-86.565567,929.864822815731
12093,Okeechobee,Florida,39644,27.271934,-80.824315,769.1642198311096
12095,Orange,Florida,1429908,28.526077,-81.388371,902.9072519564579
12097,Osceola,Florida,388656,28.269056,-81.39037,1327.5423171730315
12099,Palm Beach,Florida,1492191,26.616523,-80.143701,1964.2986322435281
12101,Pasco,Florida,561891,28.258217,-82.51024,746.6062247675724
12103,Pinellas,Florida,959107,27.900189,-82.727015,273.7797919852227
12105,Polk,Florida,725046,28.042479,-81.786864,1797.8919613650273
12107,Putnam,Florida,73321,29.60923,-81.721195,728.3635541477447
12109,St. Johns,Florida,273425,29.991793,-81.434924,600.6403643297034
12111,St. Lucie,Florida,329226,27.333592,-80.357144,571.6604131437499
12113,Santa Rosa,Florida,188000,30.547226,-87.035767,1012.4009403270968
12115,Sarasota,Florida,434006,27.201139,-82.416033,556.0062713955857
12117,Seminole,Florida,470856,28.699171,-81.310073,309.37940946763655
12119,Sumter,Florida,129752,28.83348,-82.024754,557.1371012973492
12121,Suwannee,Florida,43474,30.213664,-82.985113,688.5862082200833
12123,Taylor,Florida,21796,30.056859,-83.590349,1043.336916708857
12125,Union,Florida,16147,30.011442,-82.35769,243.55499493007326
12127,Volusia,Florida,553543,29.072351,-81.126278,1101.3108855546059
12129,Wakulla,Florida,33764,30.187394,-84.332906,606.4181252167988
12131,Walton,Florida,75305,30.543793,-86.19019,1038.2911568655811
12133,Washington,Florida,25318,30.649403,-85.62387,584.676807261482
13001,Appling,Georgia,18444,31.770708,-82.338755,508.2541019850474
13003,Atkinson,Georgia,8286,31.317495,-82.878111,342.7184744875142
13005,Bacon,Georgia,11140,31.547,-82.46609,284.0824697840022
13007,Baker,Georgia,2876,31.31096,-84.433608,341.95731539478
13009,Baldwin,Georgia,43799,33.085482,-83.243621,258.6981806646209
13011,Banks,Georgia,18035,34.349158,-83.507471,232.61648757144295
13013,Barrow,Georgia,83505,33.992491,-83.728597,161.03661611017975
13015,Bartow,Georgia,108901,34.208535,-84.829148,458.9090105900139
13017,Ben Hill,Georgia,17194,31.727139,-83.24814,250.11779803112688
